district_id,total_aadhaar_holders,total_biometric_updates,total_demographic_updates,biometric_coverage_count,last_biometric_update_date,days_since_last_update,years_since_last_update,update_recency_rank,biometric_coverage_ratio,biometric_coverage_gap,uncovered_population,demographic_to_biometric_ratio,update_lag_proxy,adult_population_proxy,population_impact_score,update_consistency,operational_neglect_proxy,urgency_signal,governance_concern_score,days_since_last_update_norm,years_since_last_update_norm,update_recency_rank_norm,biometric_coverage_ratio_norm,biometric_coverage_gap_norm,uncovered_population_norm,demographic_to_biometric_ratio_norm,update_lag_proxy_norm,adult_population_proxy_norm,population_impact_score_norm,update_consistency_norm,operational_neglect_proxy_norm,urgency_signal_norm,governance_concern_score_norm,bsi_score,bsi_tier,cps_score,cps_tier,cps_rank,is_top_20,is_top_100,camp_type,deployment_freq_days,location_suitability,strategy_reasoning
D001,20,0,9,0,,289.5,0.7931506849315069,36.0,0.0,1.0,20,0.0,0.39657534246575343,15.0,1.0,0.0,0.39657534246575343,2.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.0,1.0,1.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,1.0,Critical,70.0,Tier 2,1,True,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 70.0. Location is Standard Suitability (Pop Score: 0.00, Gap: 1.00)."
D044,20,0,4,0,,289.5,0.7931506849315069,36.0,0.0,1.0,20,0.0,0.39657534246575343,15.0,1.0,0.0,0.39657534246575343,2.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.0,1.0,1.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,1.0,Critical,70.0,Tier 2,2,True,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 70.0. Location is Standard Suitability (Pop Score: 0.00, Gap: 1.00)."
D010,20,0,3,0,,289.5,0.7931506849315069,36.0,0.0,1.0,20,0.0,0.39657534246575343,15.0,1.0,0.0,0.39657534246575343,2.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.0,1.0,1.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,1.0,Critical,70.0,Tier 2,3,True,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 70.0. Location is Standard Suitability (Pop Score: 0.00, Gap: 1.00)."
D046,20,0,6,0,,289.5,0.7931506849315069,36.0,0.0,1.0,20,0.0,0.39657534246575343,15.0,1.0,0.0,0.39657534246575343,2.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.0,1.0,1.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,1.0,Critical,70.0,Tier 2,4,True,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 70.0. Location is Standard Suitability (Pop Score: 0.00, Gap: 1.00)."
D048,20,0,5,0,,289.5,0.7931506849315069,36.0,0.0,1.0,20,0.0,0.39657534246575343,15.0,1.0,0.0,0.39657534246575343,2.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.0,1.0,1.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,1.0,Critical,70.0,Tier 2,5,True,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 70.0. Location is Standard Suitability (Pop Score: 0.00, Gap: 1.00)."
D049,20,0,4,0,,289.5,0.7931506849315069,36.0,0.0,1.0,20,0.0,0.39657534246575343,15.0,1.0,0.0,0.39657534246575343,2.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.0,1.0,1.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,1.0,Critical,70.0,Tier 2,6,True,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 70.0. Location is Standard Suitability (Pop Score: 0.00, Gap: 1.00)."
D008,20,0,5,0,,289.5,0.7931506849315069,36.0,0.0,1.0,20,0.0,0.39657534246575343,15.0,1.0,0.0,0.39657534246575343,2.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.0,1.0,1.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,1.0,Critical,70.0,Tier 2,7,True,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 70.0. Location is Standard Suitability (Pop Score: 0.00, Gap: 1.00)."
D034,20,0,6,0,,289.5,0.7931506849315069,36.0,0.0,1.0,20,0.0,0.39657534246575343,15.0,1.0,0.0,0.39657534246575343,2.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.0,1.0,1.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,1.0,Critical,70.0,Tier 2,8,True,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 70.0. Location is Standard Suitability (Pop Score: 0.00, Gap: 1.00)."
D009,20,0,5,0,,289.5,0.7931506849315069,36.0,0.0,1.0,20,0.0,0.39657534246575343,15.0,1.0,0.0,0.39657534246575343,2.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.0,1.0,1.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,1.0,Critical,70.0,Tier 2,9,True,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 70.0. Location is Standard Suitability (Pop Score: 0.00, Gap: 1.00)."
D043,20,0,7,0,,289.5,0.7931506849315069,36.0,0.0,1.0,20,0.0,0.39657534246575343,15.0,1.0,0.0,0.39657534246575343,2.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.0,1.0,1.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,1.0,Critical,70.0,Tier 2,10,True,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 70.0. Location is Standard Suitability (Pop Score: 0.00, Gap: 1.00)."
